V1,V2,weight
BoliviaLibre212,evoespueblo,2
KissMyVitaa,evoespueblo,2
No_to_ri_ous_,evoespueblo,2
LaCholalisa,evoespueblo,2
JotaTotal,evoespueblo,2
Chapaco_Alzao1,evoespueblo,2
mauri8t,evoespueblo,2
CinSaavedra1,evoespueblo,2
AndreaZegarra13,evoespueblo,2
soycambanga,evoespueblo,2
yojendris,evoespueblo,2
aarraya2,evoespueblo,2
Claudiobrunati,evoespueblo,2
nati_ebc,evoespueblo,2
Jose101Jos,evoespueblo,2
YaotlAltan,evoespueblo,2
MaritaPatino,evoespueblo,2
FranzRBarriosG,evoespueblo,2
FafaSchmitt,evoespueblo,2
pukawayra,evoespueblo,2
JuanDav74927608,evoespueblo,2
GatolBolivia,evoespueblo,2
Vero88578186,evoespueblo,2
aarraya2,evoespueblo,2
titoandresrp,evoespueblo,2
GatolBolivia,evoespueblo,2
FlaviaMontene12,evoespueblo,2
pbperito,evoespueblo,2
claudiazamorat,evoespueblo,2
mauri8t,evoespueblo,2
Ariel15182192,evoespueblo,2
Alejand58973966,evoespueblo,2
Carito13440640,evoespueblo,2
Steph_VacaDiez,evoespueblo,2
Carito13440640,evoespueblo,2
Leny04208487,evoespueblo,2
FaraonaArgenta,evoespueblo,2
Carito13440640,evoespueblo,2
sandemari,evoespueblo,2
Rub83944095,evoespueblo,2
ivetteisabel,evoespueblo,2
tomepintura,evoespueblo,2
diegohv15,evoespueblo,2
mauri8t,evoespueblo,2
AnnaGalber,evoespueblo,2
reyesanniet,evoespueblo,2
blancarcz,evoespueblo,2
RGermenos,evoespueblo,2
mauri8t,evoespueblo,2
yojendris,evoespueblo,2
Miss_teriosa1,evoespueblo,2
LuisEVera3,evoespueblo,2
Luis09824186,evoespueblo,2
DUL_MAGANA,evoespueblo,2
mauri8t,evoespueblo,2
Jho794,evoespueblo,2
NadiawenZT,evoespueblo,2
RodrigoARendon2,evoespueblo,2
VaniaAvaroma,evoespueblo,2
Kvargas93,evoespueblo,2
yojendris,evoespueblo,2
Munhoz1804,evoespueblo,2
vane_B591,evoespueblo,2
yaurielena,evoespueblo,2
Vicente41734010,evoespueblo,2
Armando_Frias_,evoespueblo,2
Dacia_Flores,evoespueblo,2
tomepintura,evoespueblo,2
aliciaareyes12,evoespueblo,2
JUANCHOTAPIA,evoespueblo,2
PMonimbo,evoespueblo,2
JoelJur88244024,evoespueblo,2
LPGChile,evoespueblo,2
RightYourWrong,evoespueblo,2
jhonas11947177,evoespueblo,2
fabobueno77,evoespueblo,2
melo_arroyo,evoespueblo,2
cotorraamuerte,evoespueblo,2
isaihuayta14_pe,evoespueblo,2
MantecaMartnez1,evoespueblo,2
Lalodap1,evoespueblo,2
PamelaQ35552668,evoespueblo,2
LaRealidadEsHoy,evoespueblo,2
HugeTuitero,evoespueblo,2
JugoDeChulupi,evoespueblo,2
CarlosMercado_,evoespueblo,2
Ernestox88,evoespueblo,2
FranzRBarriosG,evoespueblo,2
ivanitajolie,evoespueblo,2
Alex_Sada1,evoespueblo,2
srmasmas,evoespueblo,2
addohuisman,evoespueblo,2
JalimarAve,evoespueblo,2
AndresRamosAra2,evoespueblo,2
MonicaV30171554,evoespueblo,2
YaotlAltan,evoespueblo,2
GyvGabia,evoespueblo,2
EliotSalguero,evoespueblo,2
rluttecke,evoespueblo,2
AlcazarHuanca,evoespueblo,2
Gonzalo65412664,evoespueblo,2
AlejandroLaSur,evoespueblo,2
WalfreValval,evoespueblo,2
patoguzmanc,evoespueblo,2
HijoAlbanil,evoespueblo,2
Jiikkook,evoespueblo,2
LaRealidadEsHoy,evoespueblo,2
F311O85,evoespueblo,2
RiverNiode,evoespueblo,2
GabrielCopa8,evoespueblo,2
SOSUcrania,evoespueblo,2
rbarberyk,evoespueblo,2
yosif2000,evoespueblo,2
CarlosA54667932,evoespueblo,2
AlbaRozz,evoespueblo,2
alitapaz,evoespueblo,2
mcarog8,evoespueblo,2
stefan93,evoespueblo,2
Karoguerrera,evoespueblo,2
FirmesP,evoespueblo,2
Dany54578587,evoespueblo,2
paquitodom,evoespueblo,2
matilde_antelo,evoespueblo,2
Lulumensajes,evoespueblo,2
MisterDiabIo,evoespueblo,2
RiverNiode,evoespueblo,2
raniasaavedra,evoespueblo,2
Ingrid27693152,evoespueblo,2
JulyNalin,evoespueblo,2
VioletaChavez07,evoespueblo,2
Jess_Torri,evoespueblo,2
Gabustillo96,evoespueblo,2
venceslav,evoespueblo,2
rcadavieco,evoespueblo,2
RominaVargasRsc,evoespueblo,2
abramartti,evoespueblo,2
fas1966,evoespueblo,2
wasp750,evoespueblo,2
KariVettel65,evoespueblo,2
Monyrica,evoespueblo,2
EruDruida,evoespueblo,2
AngelicaBohor18,evoespueblo,2
LuisArmMM,evoespueblo,2
bascobscd,evoespueblo,2
Maria1995S,evoespueblo,2
TMBS_LostPatron,ewarren,2
mlucan1,existentialcoms,2
jeanpauldgt,FabianCoronelDj,2
eugenia20191,FabianPrl,2
eugenia20191,FabianPrl,2
Abigailit3,fabiolachambi,2
RaquelHfbuzaglo,fadela,2
AlemCondargo,FafaSchmitt,2
FlaviaMontene12,FafaSchmitt,2
Stefy_Gurtner,FaseSuperior,2
porterp33432910,Fedegalway,2
AnaMarRey,federicoalves,2
jdoedoe101101,fedewoodward1,2
jdoedoe101101,fedewoodward1,2
SIMMANZD,FelipeCalderon,2
Nelita98734925,fenix2300,2
tainosincura,FentyLanais,2
diavoloponce,fernandeznorona,2
7Melania,FernandoAmandi,2
libertario_chr,fernandoeidok,2
luis_rc13,FGE_Bolivia,2
danielsa1989,FielfestI,2
alcia89676575,filonewsOK,2
312shelly3,Fio_edwards,2
Tom__Pappalardo,FiorellaIsabelM,2
PABLOJIJON,florcis_paredes,2
MarileNeumayer,florenciarietto,2
RogerYance,floydiancosmos,2
7Mitrac,floydiancosmos,2
LaRealidadEsHoy,FranzRBarriosG,2
EfrainCamacho13,FreddyteleSUR,2
Maraki378,FrontGreen,2
BrentLee1126,fusty121,2
re_curiosito,gabrielutopia,2
eliolla_lizy,gambagamba,2
Rito_bo,Gavriel75647541,2
Fabianodireita,gduvivier,2
DignidadVzIa,geulacio,2
MarconiJoseMar1,ggreenwald,2
huertaarreguin,ggreenwald,2
BTudbubble,ggreenwald,2
ivpix,ggreenwald,2
Jade60007519,GilbertoPRamos1,2
AtahualpaYo,GiovannaZeball4,2
FerreiraKarina0,gkanozo,2
YurajTaki,GoodEmpanada,2
sabrina68,GottaBernNow,2
DPrabhata,GravelInstitute,2
CdlzSara,grupoeldeber,2
Cachupinenojado,grupoeldeber,2
libertario_chr,grupoeldeber,2
AntonioMuozlva1,GuerreroCuba,2
RainerSM13,GuerreroCuba,2
Asmicandanga,GuerreroCuba,2
verdolaga2323,GustavoBolivar,2
MarcoPahez,gustavofdelc,2
Tatianakorable1,GustavoWgp,2
sergcer,haumuler,2
SantoroFabian,hdeaurre,2
taseenb,he_plays_sitar,2
dargwind,heavytrash,2
eshaLegal,Hebahersi,2
